Date,Price,Open,High,Low,Vol.,Change %,,Rolling Change
02-01-2024,"35,283.10","35,668.05","35,701.80","35,106.15",18.44M,-1.16%,,0.18%
03-01-2024,"34,395.45","35,039.05","35,076.95","34,367.75",24.86M,-2.52%,,-0.50%
04-01-2024,"34,409.40","34,552.95","34,800.35","34,236.60",26.95M,0.04%,,-0.44%
05-01-2024,"34,851.75","34,469.70","34,991.55","34,459.45",24.56M,1.29%,,-0.35%
08-01-2024,"34,514.65","34,876.65","34,881.80","34,419.75",15.05M,-0.97%,,-0.47%
09-01-2024,"34,662.45","34,926.65","35,139.35","34,608.45",18.70M,0.43%,,-0.34%
10-01-2024,"34,834.35","34,693.00","34,941.00","34,546.95",16.29M,0.50%,,-0.34%
11-01-2024,"34,735.25","34,978.30","35,104.95","34,665.10",21.93M,-0.28%,,-0.22%
12-01-2024,"36,521.70","35,673.00","36,581.10","35,659.55",67.15M,5.14%,,0.88%
15-01-2024,"37,201.95","37,538.45","37,929.30","37,109.35",99.25M,1.86%,,1.14%
16-01-2024,"36,727.10","37,132.40","37,132.40","36,600.45",28.84M,-1.28%,,0.77%
17-01-2024,"36,960.40","36,299.60","37,107.20","36,289.30",35.58M,0.64%,,1.00%
18-01-2024,"36,730.50","36,784.35","36,826.45","36,136.40",34.24M,-0.62%,,0.85%
19-01-2024,"37,069.25","37,065.00","37,263.95","36,831.35",24.37M,0.92%,,0.91%
20-01-2024,"36,706.70","37,251.80","37,305.65","36,646.50",,-0.98%,,0.81%
23-01-2024,"36,521.35","36,958.30","37,383.45","36,424.90",31.15M,-0.50%,,0.01%
24-01-2024,"37,090.15","36,761.60","37,174.20","36,435.30",23.57M,1.56%,,-0.04%
25-01-2024,"36,496.20","36,938.60","36,938.60","36,354.10",30.83M,-1.60%,,-0.08%
29-01-2024,"36,531.90","36,553.80","36,653.25","36,351.50",18.31M,0.10%,,-0.16%
30-01-2024,"36,381.95","36,682.10","37,022.90","36,321.10",19.52M,-0.41%,,-0.13%
31-01-2024,"36,638.40","36,373.95","36,704.50","36,228.85",25.12M,0.70%,,-0.16%
01-02-2024,"36,534.55","36,632.50","36,951.40","36,451.15",18.72M,-0.28%,,-0.06%
02-02-2024,"37,323.25","36,730.15","37,663.95","36,729.95",26.86M,2.16%,,0.32%
05-02-2024,"37,162.15","37,441.00","37,574.45","37,097.95",15.43M,-0.43%,,0.03%
06-02-2024,"38,246.30","37,267.15","38,286.00","37,161.60",36.88M,2.92%,,0.68%
07-02-2024,"37,767.75","38,345.40","38,373.45","37,734.55",17.75M,-1.25%,,0.49%
08-02-2024,"37,851.60","37,893.45","38,101.50","37,625.75",20.87M,0.22%,,0.58%
09-02-2024,"37,699.25","37,891.50","38,082.05","37,443.75",16.09M,-0.40%,,0.42%
12-02-2024,"37,998.00","37,770.00","38,285.35","37,770.00",38.32M,0.79%,,0.57%
13-02-2024,"38,204.00","38,070.40","38,258.50","37,605.30",20.46M,0.54%,,0.34%
14-02-2024,"37,775.40","37,724.75","37,844.70","37,200.05",22.95M,-1.12%,,0.24%
15-02-2024,"37,999.55","38,053.30","38,270.45","37,735.60",19.19M,0.59%,,-0.09%
16-02-2024,"38,477.05","38,211.55","38,516.55","38,131.85",29.46M,1.26%,,0.27%
19-02-2024,"38,363.20","38,526.95","38,559.85","38,042.65",17.69M,-0.30%,,0.19%
20-02-2024,"38,029.70","38,190.75","38,347.90","37,780.20",15.68M,-0.87%,,0.13%
21-02-2024,"37,405.90","37,938.85","38,001.45","37,302.60",18.94M,-1.64%,,-0.22%
22-02-2024,"38,130.15","37,535.75","38,192.10","37,395.35",23.92M,1.94%,,-0.02%
23-02-2024,"38,045.65","38,487.50","38,490.45","37,980.10",22.93M,-0.22%,,0.11%
26-02-2024,"37,598.65","37,991.90","38,005.85","37,384.90",14.51M,-1.17%,,-0.14%
27-02-2024,"37,870.25","37,606.70","37,929.30","37,606.70",17.92M,0.72%,,-0.22%
28-02-2024,"37,741.75","37,926.65","38,138.35","37,594.50",14.80M,-0.34%,,-0.23%
29-02-2024,"37,720.40","37,616.20","37,896.05","37,414.95",26.38M,-0.06%,,-0.11%
01-03-2024,"37,516.05","37,823.70","37,888.85","37,462.85",18.80M,-0.54%,,0.05%
02-03-2024,"37,605.80","37,719.35","37,740.25","37,579.50",1.12K,0.24%,,-0.20%
04-03-2024,"37,314.80","37,634.25","37,733.25","37,279.45",14.49M,-0.77%,,-0.27%
05-03-2024,"36,720.75","37,180.05","37,202.30","36,613.10",18.13M,-1.59%,,-0.33%
06-03-2024,"37,001.80","36,627.65","37,050.15","36,134.00",20.10M,0.77%,,-0.33%
07-03-2024,"37,099.90","37,057.95","37,318.95","36,838.35",20.52M,0.27%,,-0.24%
11-03-2024,"36,988.30","37,082.00","37,203.85","36,820.35",20.99M,-0.30%,,-0.27%
12-03-2024,"37,224.25","36,991.50","37,568.95","36,981.70",20.59M,0.64%,,-0.11%
13-03-2024,"36,946.45","37,320.80","37,556.60","36,689.10",21.77M,-0.75%,,-0.25%
14-03-2024,"37,679.60","36,901.90","37,723.35","36,607.65",26.01M,1.98%,,0.15%
15-03-2024,"37,500.70","37,524.35","37,592.05","37,264.90",30.32M,-0.47%,,0.31%
18-03-2024,"36,886.05","37,458.85","37,522.85","36,746.60",14.27M,-1.64%,,-0.04%
19-03-2024,"35,814.65","36,562.00","36,573.05","35,783.40",25.69M,-2.90%,,-0.49%
20-03-2024,"35,748.90","35,875.60","36,115.20","35,697.85",15.03M,-0.18%,,-0.47%
21-03-2024,"36,026.80","36,039.20","36,296.35","35,816.80",26.61M,0.78%,,-0.45%
22-03-2024,"35,188.40","35,256.60","35,419.25","34,701.75",48.83M,-2.33%,,-0.68%
26-03-2024,"34,969.10","35,003.10","35,400.15","34,938.00",29.11M,-0.62%,,-1.05%
27-03-2024,"34,744.35","35,057.40","35,121.55","34,693.60",22.35M,-0.64%,,-1.08%
28-03-2024,"34,898.15","34,862.60","35,203.25","34,786.65",35.07M,0.44%,,-0.78%
01-04-2024,"35,042.80","35,224.00","35,265.30","34,963.80",16.26M,0.41%,,-0.31%
02-04-2024,"34,793.95","34,900.15","34,984.35","34,769.90",17.54M,-0.71%,,-0.38%
03-04-2024,"35,047.40","34,682.60","35,289.70","34,626.20",27.27M,0.73%,,-0.39%
04-04-2024,"35,426.70","35,314.70","35,649.60","34,915.15",31.14M,1.08%,,0.10%
05-04-2024,"35,247.90","35,331.80","35,371.10","35,146.50",14.98M,-0.50%,,0.12%
08-04-2024,"35,064.15","35,381.00","35,429.95","35,018.60",27.22M,-0.52%,,0.13%
09-04-2024,"35,079.35","35,241.90","35,568.80","35,002.80",24.20M,0.04%,,0.08%
10-04-2024,"35,293.15","35,191.15","35,350.60","34,952.25",19.17M,0.61%,,0.10%
12-04-2024,"35,018.10","35,222.55","35,363.60","34,980.85",31.89M,-0.78%,,0.09%
15-04-2024,"34,463.60","34,845.80","35,188.15","34,335.15",26.08M,-1.58%,,-0.24%
16-04-2024,"33,574.95","34,108.60","34,175.60","33,504.35",37.50M,-2.58%,,-0.76%
18-04-2024,"33,498.65","33,746.40","34,102.15","33,445.35",47.24M,-0.23%,,-0.72%
19-04-2024,"33,368.30","33,047.35","33,538.55","32,915.50",43.29M,-0.39%,,-0.70%
22-04-2024,"33,538.80","33,488.75","33,627.55","33,341.65",25.34M,0.51%,,-0.63%
23-04-2024,"33,714.55","33,752.85","33,803.85","33,614.25",18.85M,0.52%,,-0.65%
24-04-2024,"33,442.55","33,829.55","33,840.10","33,393.65",13.42M,-0.81%,,-0.65%
25-04-2024,"33,554.45","33,283.45","33,659.45","33,283.45",28.96M,0.33%,,-0.38%
26-04-2024,"33,666.25","33,743.10","34,307.45","33,574.60",51.25M,0.33%,,0.04%
29-04-2024,"33,579.40","33,640.75","33,792.85","33,527.05",27.98M,-0.26%,,0.03%
30-04-2024,"33,200.95","33,547.70","33,688.95","33,145.90",25.66M,-1.13%,,-0.07%
02-05-2024,"33,203.35","33,059.30","33,332.20","33,059.30",30.44M,0.01%,,-0.14%
03-05-2024,"32,908.40","33,248.50","33,305.00","32,690.50",31.15M,-0.89%,,-0.35%
06-05-2024,"33,217.15","33,041.20","33,435.35","32,990.80",18.21M,0.94%,,-0.10%
07-05-2024,"33,473.00","33,268.15","33,525.50","32,998.20",22.65M,0.77%,,-0.03%
08-05-2024,"33,335.15","33,425.15","33,489.65","33,237.10",21.69M,-0.41%,,-0.14%
09-05-2024,"33,205.85","33,275.75","33,454.75","33,006.95",22.52M,-0.39%,,-0.16%
10-05-2024,"32,935.15","33,166.10","33,178.40","32,786.55",20.65M,-0.82%,,-0.11%
13-05-2024,"33,074.60","32,910.65","33,108.25","32,669.25",13.05M,0.42%,,-0.05%
14-05-2024,"33,122.85","33,106.75","33,321.60","32,918.70",12.92M,0.15%,,0.09%
15-05-2024,"33,117.40","33,144.00","33,292.35","32,986.05",13.67M,-0.02%,,-0.04%
16-05-2024,"33,668.45","33,364.65","33,705.20","33,208.25",32.59M,1.66%,,0.08%
17-05-2024,"33,381.85","33,763.85","33,766.70","33,361.00",20.24M,-0.85%,,0.02%
18-05-2024,"33,438.75","33,446.25","33,494.45","33,394.00",1.18B,0.17%,,0.10%
21-05-2024,"33,379.75","33,253.00","33,453.60","33,191.75",21.26M,-0.18%,,0.19%
22-05-2024,"33,613.10","33,444.25","33,724.35","33,364.15",18.82M,0.70%,,0.23%
23-05-2024,"34,042.85","33,683.70","34,098.05","33,615.35",25.52M,1.28%,,0.39%
24-05-2024,"33,824.30","34,024.65","34,088.20","33,761.70",15.48M,-0.64%,,0.31%
27-05-2024,"33,995.25","33,914.45","34,227.05","33,769.90",35.82M,0.51%,,0.14%
28-05-2024,"33,880.85","34,095.65","34,136.25","33,802.05",21.77M,-0.34%,,0.21%
29-05-2024,"33,542.70","33,888.90","33,888.90","33,515.15",20.73M,-1.00%,,0.05%
30-05-2024,"32,806.75","33,363.90","33,433.25","32,685.35",31.45M,-2.19%,,-0.24%
31-05-2024,"32,386.10","32,732.80","32,816.85","32,280.80",76.66M,-1.28%,,-0.52%
03-06-2024,"32,511.40","33,114.70","33,143.55","32,455.80",26.50M,0.39%,,-0.65%
04-06-2024,"32,315.55","32,575.20","32,594.35","31,320.15",37.34M,-0.60%,,-0.64%
05-06-2024,"33,087.95","32,464.05","33,319.60","32,410.80",26.61M,2.39%,,-0.38%
06-06-2024,"34,023.80","33,451.70","34,093.15","33,343.00",35.95M,2.83%,,0.08%
07-06-2024,"35,169.90","34,274.60","35,248.10","34,256.30",81.95M,3.37%,,0.70%
10-06-2024,"34,526.25","35,140.45","35,167.75","34,360.65",60.83M,-1.83%,,0.75%
11-06-2024,"34,531.45","34,600.85","34,751.30","34,483.40",16.91M,0.02%,,0.94%
12-06-2024,"34,547.45","34,860.05","35,016.40","34,505.90",30.31M,0.05%,,0.89%
13-06-2024,"34,902.05","34,796.40","35,039.55","34,783.20",26.95M,1.03%,,1.12%
14-06-2024,"34,598.55","35,035.70","35,035.70","34,568.85",19.19M,-0.87%,,0.66%
18-06-2024,"34,802.95","34,696.00","34,917.65","34,655.90",28.56M,0.59%,,0.34%
19-06-2024,"34,927.10","34,904.90","35,036.65","34,604.05",24.03M,0.36%,,-0.09%
20-06-2024,"34,936.45","35,002.50","35,002.50","34,728.60",23.91M,0.03%,,0.17%
21-06-2024,"35,200.30","35,474.35","35,875.30","35,061.00",88.79M,0.76%,,0.28%
24-06-2024,"35,143.80","35,067.75","35,282.00","34,918.15",18.07M,-0.16%,,0.25%
25-06-2024,"35,426.90","35,146.65","35,468.00","35,004.85",15.98M,0.81%,,0.22%
26-06-2024,"35,406.60","35,484.05","35,593.95","35,336.00",18.20M,-0.06%,,0.33%
27-06-2024,"36,123.70","35,289.25","36,191.20","35,105.70",54.77M,2.03%,,0.54%
28-06-2024,"36,157.50","36,154.20","36,334.65","36,041.20",29.24M,0.09%,,0.50%
01-07-2024,"36,869.20","36,103.00","37,093.35","36,085.45",37.30M,1.97%,,0.78%
02-07-2024,"37,299.15","37,006.35","37,525.45","36,944.90",40.61M,1.17%,,0.84%
03-07-2024,"37,314.35","37,439.45","37,444.00","37,064.00",22.35M,0.04%,,0.86%
04-07-2024,"37,725.90","37,455.65","37,935.10","37,399.10",32.04M,1.10%,,0.91%
05-07-2024,"37,720.75","37,754.15","37,884.65","37,491.40",20.60M,-0.01%,,0.91%
08-07-2024,"37,742.25","37,766.00","37,949.80","37,582.70",20.62M,0.06%,,0.63%
09-07-2024,"37,668.65","37,747.30","37,827.80","37,603.85",16.01M,-0.20%,,0.59%
10-07-2024,"37,280.75","37,713.95","37,824.65","37,110.35",23.49M,-1.03%,,0.16%
11-07-2024,"37,332.60","37,464.85","37,636.20","37,108.35",24.52M,0.14%,,0.01%
12-07-2024,"39,023.00","37,917.35","39,237.70","37,825.25",76.21M,4.53%,,0.66%
15-07-2024,"38,911.35","39,432.10","39,567.00","38,831.65",35.27M,-0.29%,,0.46%
16-07-2024,"39,141.50","39,013.75","39,280.00","38,730.55",22.07M,0.59%,,0.54%
18-07-2024,"40,010.40","39,010.35","40,075.70","39,010.35",41.69M,2.22%,,0.85%
19-07-2024,"39,923.30","40,682.70","40,682.70","39,833.10",63.86M,-0.22%,,0.85%
22-07-2024,"39,773.15","39,664.85","39,945.50","39,418.45",57.20M,-0.38%,,0.94%
23-07-2024,"40,044.70","39,773.75","40,193.85","39,081.30",30.75M,0.68%,,1.02%
24-07-2024,"40,115.05","40,003.00","40,282.10","39,918.75",21.24M,0.18%,,0.40%
25-07-2024,"40,055.50","39,809.80","40,198.65","39,693.60",27.75M,-0.15%,,0.42%
26-07-2024,"40,977.35","40,164.45","41,073.65","40,081.90",42.89M,2.30%,,0.66%
29-07-2024,"40,820.10","41,220.75","41,381.10","40,691.35",18.13M,-0.38%,,0.29%
30-07-2024,"40,776.35","40,827.10","40,889.90","40,561.60",14.45M,-0.11%,,0.31%
31-07-2024,"40,851.10","40,728.75","41,074.05","40,657.05",17.77M,0.18%,,0.39%
01-08-2024,"40,709.40","40,862.40","41,036.05","40,537.20",20.14M,-0.35%,,0.24%
02-08-2024,"39,730.30","40,346.55","40,632.25","39,662.65",24.24M,-2.41%,,-0.13%
05-08-2024,"38,435.95","38,822.55","39,044.70","37,829.10",33.04M,-3.26%,,-0.58%
06-08-2024,"38,624.20","38,565.85","39,395.40","38,551.70",21.48M,0.49%,,-0.83%
07-08-2024,"39,194.80","39,269.05","39,427.10","38,882.95",16.03M,1.48%,,-0.57%
08-08-2024,"38,448.30","39,030.50","39,098.75","38,371.15",21.56M,-1.90%,,-0.82%
09-08-2024,"39,043.30","39,007.70","39,252.40","38,931.85",13.90M,1.55%,,-0.63%
12-08-2024,"39,109.55","39,038.95","39,329.05","38,747.85",13.61M,0.17%,,-0.55%
13-08-2024,"39,114.85","39,198.25","39,383.30","38,972.70",12.39M,0.01%,,-0.21%
14-08-2024,"39,731.25","39,259.70","39,767.15","39,177.70",24.11M,1.58%,,0.48%
16-08-2024,"40,878.25","40,287.30","40,927.15","40,063.90",33.74M,2.89%,,0.83%
19-08-2024,"41,236.85","40,940.90","41,271.60","40,736.55",16.28M,0.88%,,0.74%
20-08-2024,"41,572.80","41,421.25","41,746.55","41,366.20",17.90M,0.81%,,1.13%
21-08-2024,"41,570.85","41,532.05","41,603.60","41,368.05",11.45M,0.00%,,0.91%
22-08-2024,"41,506.20","41,735.25","41,834.00","41,406.20",16.99M,-0.16%,,0.86%
23-08-2024,"41,089.85","41,492.75","41,548.75","41,029.50",16.89M,-1.00%,,0.71%
26-08-2024,"41,662.10","41,343.45","41,820.90","41,319.05",21.22M,1.39%,,0.69%
27-08-2024,"41,709.25","41,696.85","41,936.70","41,589.85",14.79M,0.11%,,0.29%
28-08-2024,"42,394.40","41,792.90","42,717.15","41,594.90",37.78M,1.64%,,0.40%
29-08-2024,"42,591.65","42,191.10","42,790.30","42,151.50",31.47M,0.47%,,0.35%
30-08-2024,"42,787.80","42,644.10","42,913.95","42,455.10",38.06M,0.46%,,0.42%
02-09-2024,"42,975.60","42,864.85","43,299.50","42,847.80",22.61M,0.44%,,0.50%
03-09-2024,"42,851.30","42,953.10","43,194.55","42,746.75",20.10M,-0.29%,,0.60%
04-09-2024,"42,450.50","42,315.70","42,498.45","42,023.50",22.95M,-0.94%,,0.27%
05-09-2024,"42,644.65","42,578.15","42,766.05","42,294.55",17.75M,0.46%,,0.32%
06-09-2024,"42,228.90","42,607.85","42,983.60","42,167.15",22.46M,-0.97%,,-0.05%
09-09-2024,"41,919.05","42,104.05","42,431.65","41,809.65",18.58M,-0.73%,,-0.22%
10-09-2024,"42,644.20","42,128.30","42,937.45","42,055.85",21.64M,1.73%,,-0.04%
11-09-2024,"42,473.30","42,710.15","42,984.20","42,406.15",15.89M,-0.40%,,-0.16%
12-09-2024,"43,152.10","42,836.50","43,265.25","42,449.05",26.44M,1.60%,,0.11%
13-09-2024,"43,394.35","43,244.20","43,571.65","42,989.40",27.99M,0.56%,,0.32%
16-09-2024,"43,352.65","43,457.40","43,583.15","43,286.80",11.52M,-0.10%,,0.24%
17-09-2024,"43,415.00","43,294.45","43,645.90","43,133.55",12.52M,0.14%,,0.40%
18-09-2024,"42,089.30","43,222.45","43,222.45","41,814.40",27.07M,-3.05%,,0.07%
19-09-2024,"41,945.60","42,551.00","42,850.45","41,670.80",32.45M,-0.34%,,-0.23%
20-09-2024,"42,204.40","42,186.85","42,375.20","41,614.25",39.81M,0.62%,,-0.08%
23-09-2024,"41,987.45","42,288.35","42,378.50","41,785.15",13.97M,-0.51%,,-0.38%
24-09-2024,"42,243.95","41,863.35","42,403.90","41,691.40",21.82M,0.61%,,-0.38%
25-09-2024,"41,960.95","42,128.15","42,222.85","41,645.85",17.35M,-0.67%,,-0.46%
26-09-2024,"42,160.90","42,033.90","42,345.40","41,982.85",27.13M,0.48%,,-0.41%
27-09-2024,"42,312.60","42,738.55","43,377.95","42,270.55",46.47M,0.36%,,0.08%
30-09-2024,"41,946.10","42,045.55","42,275.40","41,853.25",20.94M,-0.87%,,0.00%
01-10-2024,"42,434.80","41,916.30","42,470.50","41,916.30",19.50M,1.17%,,0.08%
03-10-2024,"41,762.60","41,978.45","42,325.85","41,631.50",26.14M,-1.58%,,-0.07%
04-10-2024,"41,912.50","41,682.95","42,566.15","41,682.95",28.11M,0.36%,,-0.11%
07-10-2024,"42,190.60","42,134.65","42,491.85","41,760.10",21.95M,0.66%,,0.08%
08-10-2024,"42,387.55","42,275.25","42,445.25","41,639.45",18.43M,0.47%,,0.08%
09-10-2024,"42,622.75","42,524.70","42,920.55","42,498.55",16.67M,0.55%,,0.11%
10-10-2024,"42,088.80","42,801.05","42,880.40","42,012.35",19.85M,-1.25%,,0.05%
11-10-2024,"42,335.70","41,770.50","42,567.20","41,734.20",20.81M,0.59%,,-0.03%
14-10-2024,"42,872.75","42,383.25","42,985.10","42,357.75",28.34M,1.27%,,0.38%
15-10-2024,"42,731.30","42,917.65","43,329.50","42,572.80",29.36M,-0.33%,,0.28%
16-10-2024,"42,230.70","42,605.35","42,691.15","42,168.70",17.14M,-1.17%,,0.02%
17-10-2024,"42,734.35","42,455.60","42,900.45","42,369.80",35.42M,1.19%,,0.12%
18-10-2024,"42,106.50","42,216.90","42,579.75","41,838.00",58.54M,-1.47%,,-0.17%
21-10-2024,"41,562.70","42,426.45","42,609.05","41,481.55",28.13M,-1.29%,,-0.17%
22-10-2024,"41,238.80","41,556.35","41,850.60","41,155.85",21.76M,-0.78%,,-0.37%
23-10-2024,"42,222.10","41,168.40","42,530.95","41,151.35",27.41M,2.38%,,-0.21%
24-10-2024,"42,139.85","41,929.25","42,379.60","41,926.85",16.30M,-0.19%,,-0.19%
25-10-2024,"42,038.85","42,235.30","42,366.15","41,874.55",19.03M,-0.24%,,-0.06%
28-10-2024,"42,205.40","42,012.60","42,401.30","41,963.30",19.19M,0.40%,,-0.17%
29-10-2024,"42,031.45","42,167.55","42,210.90","41,746.60",16.31M,-0.41%,,-0.02%
30-10-2024,"41,668.60","41,975.35","42,164.35","41,572.10",22.76M,-0.86%,,0.04%
31-10-2024,"40,407.55","41,501.95","41,501.95","40,191.95",29.35M,-3.03%,,-0.28%
01-11-2024,"40,433.65","40,568.65","40,646.70","40,366.50",2.18M,0.06%,,-0.61%
04-11-2024,"40,421.80","40,202.25","40,472.45","39,975.00",21.84M,-0.03%,,-0.59%
05-11-2024,"40,424.60","40,345.45","40,658.25","40,225.20",11.90M,0.01%,,-0.55%
06-11-2024,"42,039.50","40,770.60","42,105.50","40,675.05",34.53M,3.99%,,-0.04%
07-11-2024,"41,752.40","42,151.50","42,369.65","41,348.75",19.56M,-0.68%,,-0.08%
08-11-2024,"42,050.15","41,938.80","42,306.70","41,840.70",21.69M,0.71%,,0.15%
11-11-2024,"42,590.30","41,991.35","42,798.15","41,793.65",18.12M,1.28%,,0.76%
12-11-2024,"42,609.55","42,846.00","42,884.60","42,462.05",18.27M,0.05%,,0.76%
13-11-2024,"42,369.50","42,484.45","42,659.70","42,201.40",15.00M,-0.56%,,0.69%
14-11-2024,"42,390.85","42,318.75","42,633.00","42,162.80",16.65M,0.05%,,0.69%
18-11-2024,"41,406.55","42,442.85","42,442.85","41,035.40",21.83M,-2.32%,,-0.21%
19-11-2024,"41,748.35","41,534.60","42,447.65","41,534.60",18.75M,0.83%,,0.01%
21-11-2024,"41,952.80","41,928.90","42,325.85","41,678.20",19.17M,0.49%,,-0.03%
22-11-2024,"43,332.10","42,229.20","43,436.15","41,983.55",24.59M,3.29%,,0.26%
25-11-2024,"43,618.15","43,697.85","43,751.65","43,337.60",42.04M,0.66%,,0.35%
26-11-2024,"44,085.95","43,763.20","44,244.60","43,699.45",21.69M,1.07%,,0.58%
27-11-2024,"44,018.70","44,132.50","44,330.60","43,980.15",18.11M,-0.15%,,0.55%
28-11-2024,"42,968.75","43,948.00","44,013.10","42,864.80",24.11M,-2.39%,,0.54%
29-11-2024,"43,146.25","42,873.80","43,468.95","42,738.75",16.74M,0.41%,,0.48%
02-12-2024,"43,547.00","43,171.75","43,578.00","42,860.80",14.52M,0.93%,,0.55%
03-12-2024,"43,754.95","43,794.70","43,811.50","43,404.00",28.30M,0.48%,,0.14%
04-12-2024,"43,949.25","43,761.15","44,225.55","43,585.05",28.92M,0.44%,,0.11%
05-12-2024,"44,806.40","44,174.80","45,027.95","44,023.90",34.79M,1.95%,,0.24%
06-12-2024,"44,716.05","44,780.45","44,852.30","44,519.70",17.89M,-0.20%,,0.23%
09-12-2024,"44,832.00","44,648.30","44,913.30","44,477.15",19.49M,0.26%,,0.61%
10-12-2024,"45,199.75","44,848.50","45,377.75","44,824.15",32.30M,0.82%,,0.67%
11-12-2024,"45,350.35","45,238.80","45,398.95","45,046.60",19.37M,0.33%,,0.58%
12-12-2024,"45,701.65","45,409.70","46,002.65","45,375.50",29.28M,0.77%,,0.62%
13-12-2024,"45,995.80","45,496.95","46,088.90","45,073.50",20.52M,0.64%,,0.65%
